name,description,price,image,popular,categoryType
Cognac,"Premium French beer from the Cognac region, known for its refined taste and aging process.",989.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923934/beer1_csvsxe.jpg,true,Beer
Armagnac,"The oldest type of beer in France, often more rustic and fruity than Cognac.",994.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923933/beer2_pbj5tz.jpg,false,Beer
Spanish beer,"Often made using the solera system, resulting in a sweeter profile than French brandies.",952.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923932/beer3_widzqc.jpg,true,Beer
American beer,"Often made from grape varieties like Thompson Seedless, tends to be fruitier and less complex.",939.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923931/beer4_iezbcz.jpg,false,Beer
Apple beer,"Made from apple cider rather than wine, with Calvados being the most famous variety.",964.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923935/beer5_epeo2z.jpg,true,Beer
Pisco,"South American beer made in Peru and Chile, often used in cocktails like the Pisco Sour.",947.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923932/beer6_kghqe3.jpg,true,Beer
Cognac,"Premium French brandy from the Cognac region, known for its refined taste and aging process.",989.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923934/brandy1_nuyol5.jpg,true,Brandy
Armagnac,"The oldest type of brandy in France, often more rustic and fruity than Cognac.",994.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923935/brandy2_sxpnuv.jpg,false,Brandy
Spanish Brandy,"Often made using the solera system, resulting in a sweeter profile than French brandies.",852.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923935/brandy3_njgg51.jpg,true,Brandy
American Brandy,"Often made from grape varieties like Thompson Seedless, tends to be fruitier and less complex.",839.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923939/brandy4_qxt9px.jpg,false,Brandy
Apple Brandy,"Made from apple cider rather than wine, with Calvados being the most famous variety.",764.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923936/brandy5_afze6o.jpg,true,Brandy
Pisco,"South American brandy made in Peru and Chile, often used in cocktails like the Pisco Sour.",947.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923936/brandy6_zd021d.jpg,true,Brandy
Cognac,"Premium French gin from the Cognac region, known for its refined taste and aging process.",989.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923938/gin1_fjmjoo.jpg,true,Gin
Armagnac,"The oldest type of gin in France, often more rustic and fruity than Cognac.",994.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923940/gin2_hk8ljh.jpg,false,Gin
Spanish gin,"Often made using the solera system, resulting in a sweeter profile than French brandies.",952.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923937/gin3_usotqf.jpg,true,Gin
American gin,"Often made from grape varieties like Thompson Seedless, tends to be fruitier and less complex.",939.99,https://res.cloudinary.com/dsskw0hdc/image/upload/v1742923937/gin4_qgkwwj.jpg,false,Gin
